# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Mon May  4 18:45:19 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.06 0.69525 9.60206 0.1000000015 1.1711064122    0.100 -3.262  3.3618  5.099    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-17      0.00 5.834e-01 3.566e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.925 21.357 19.335 17.679 15.701 13.523 10.819 10.239 9.887
0.06 0.69525 9.60206 0.1199999973 1.3193154249    0.120 -3.055  3.3837  5.058    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.46e-17      0.00 5.832e-01 3.568e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.407 20.759 18.784 17.143 15.177 13.005 10.302 9.724 9.368
0.06 0.69525 9.60206 0.1244770065 1.3481258644    0.124 -3.017  3.3874  5.051    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 5.832e-01 3.568e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.312 20.650 18.683 17.045 15.081 12.910 10.207 9.630 9.273
0.06 0.69525 9.60206 0.1400000006 1.4384526719    0.140 -2.895  3.3993  5.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 5.830e-01 3.570e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.007 20.298 18.359 16.729 14.772 12.604 9.902 9.326 8.969
0.06 0.69525 9.60206 0.1599999964 1.5372931554    0.160 -2.764  3.4111  5.003    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-16      0.00 5.828e-01 3.572e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.681 19.924 18.013 16.393 14.443 12.279 9.577 9.003 8.643
0.06 0.69525 9.60206 0.2000000030 1.6938790862    0.200 -2.557  3.4289  4.963    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-16      0.00 5.825e-01 3.575e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.162 18.740 17.031 15.468 13.655 11.583 9.080 8.509 8.157
0.06 0.69525 9.60206 0.2500000000 1.8403257998    0.250 -2.337  3.4503  4.927    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.97e-16      0.00 5.821e-01 3.579e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.614 17.223 15.765 14.289 12.672 10.755 8.573 8.001 7.669
0.06 0.69525 9.60206 0.2741816342 1.8981113256    0.274 -2.252  3.4569  4.907    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-16      0.00 5.820e-01 3.580e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.399 16.749 15.353 13.891 12.328 10.465 8.373 7.799 7.474
0.06 0.69525 9.60206 0.3000000417 1.9529140366    0.300 -2.169  3.4633  4.889    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.59e-16      0.00 5.819e-01 3.581e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.192 16.306 14.964 13.518 12.004 10.190 8.178 7.603 7.285
0.06 0.69525 9.60206 0.3499999940 2.0434174644    0.350 -2.006  3.4760  4.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.91e-16      0.00 5.838e-01 3.562e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 9.785 15.476 14.228 12.819 11.392 9.667 7.798 7.216 6.914
