# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May  6 22:05:35 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.06 0.69525 9.47712 0.1000000015 1.1711064122    0.100 -3.262  3.3617  5.099    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-17      0.00 5.836e-01 3.564e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.925 21.358 19.335 17.679 15.701 13.524 10.820 10.239 9.887
0.06 0.69525 9.47712 0.1199999973 1.3193154249    0.120 -3.055  3.3836  5.058    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.46e-17      0.00 5.834e-01 3.566e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.407 20.760 18.784 17.143 15.177 13.005 10.302 9.725 9.369
0.06 0.69525 9.47712 0.1394941062 1.4357175614    0.139 -2.899  3.3989  5.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 5.833e-01 3.567e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.017 20.310 18.369 16.740 14.782 12.614 9.912 9.336 8.979
0.06 0.69525 9.47712 0.1400000006 1.4384526719    0.140 -2.895  3.3992  5.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-16      0.00 5.833e-01 3.567e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.007 20.299 18.359 16.730 14.773 12.605 9.903 9.327 8.969
0.06 0.69525 9.47712 0.1599999964 1.5372931554    0.160 -2.765  3.4110  5.003    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-16      0.00 5.831e-01 3.569e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.682 19.925 18.014 16.394 14.444 12.280 9.578 9.004 8.644
0.06 0.69525 9.47712 0.2000000030 1.6938790862    0.200 -2.558  3.4288  4.964    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-16      0.00 5.829e-01 3.571e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.164 18.747 17.036 15.474 13.659 11.586 9.083 8.511 8.159
0.06 0.69525 9.47712 0.2500000000 1.8403257998    0.250 -2.341  3.4502  4.929    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-16      0.00 5.826e-01 3.574e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.621 17.235 15.775 14.298 12.681 10.763 8.580 8.008 7.677
0.06 0.69525 9.47712 0.2996059060 1.9521240515    0.299 -2.173  3.4632  4.892    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.52e-16      0.00 5.824e-01 3.576e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.203 16.324 14.980 13.533 12.018 10.202 8.189 7.614 7.296
0.06 0.69525 9.47712 0.3000000417 1.9529140366    0.300 -2.172  3.4633  4.892    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.53e-16      0.00 5.824e-01 3.576e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.200 16.319 14.975 13.528 12.013 10.199 8.187 7.611 7.294
0.06 0.69525 9.47712 0.3039064109 1.9606715135    0.304 -2.158  3.4643  4.888    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-16      0.00 5.825e-01 3.575e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.165 16.246 14.911 13.468 11.961 10.154 8.154 7.578 7.262
