# Z0.004Y0.256O_IN0.0OUTA1.74_F71_M2.00.UNF 
# M=2.0, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    2.0000000000e+00    1.1762161920e+03    1.1761161920e+03    2.0748956700e+00    3.6799940916e+00    1.1054841287e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9858097803e+00   -2.3298637630e+00    1.1796131173e+01   -7.5447107607e+00    1.6630687200e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.1054841287e+12    1.1054841287e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.7915268802e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9858097803e+00   -2.3298637630e+00    0.0000000000e+00    1.4559937806e-15    1.4559937806e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.8497996525e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8774890786e+00   -7.2494870734e+00    4.4525504634e+00    3.6801855698e+00    1.2043169555e+01    1.2518969499e+00    3.6815839254e+00   -7.3007276907e+00    4.2022768292e+00    3.6799948395e+00    1.2043551016e+01    1.2526288191e+00
    2.0000000000e+00    2.4993469079e+03    1.3231307160e+03    2.0581440255e+00    3.6810590073e+00    1.0790631414e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9960327255e+00   -2.2991979355e+00    1.1837023311e+01   -7.5093987040e+00    1.6631101857e+00    7.3996185984e-01    2.3246364601e-05    2.5597683364e-01    7.1926088209e-04    1.9404596162e-04    1.7598808537e-03    4.0388508341e-04    1.7717828003e-04    1.9099296003e-04    8.8870440014e-05    1.9232020003e-05    1.7600452003e-05    9.6089920015e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0790631414e+12    1.0790631414e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.3871022579e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9960327255e+00   -2.2991979355e+00    0.0000000000e+00    2.1334944854e-15    2.1334944854e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.5281620184e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8779321055e+00   -7.2408662642e+00    4.4616210546e+00    3.6812453692e+00    1.2032674134e+01    1.2451933159e+00    3.6811468294e+00   -7.2955528336e+00    4.2069824634e+00    3.6810585664e+00    1.2033047740e+01    1.2531655988e+00
    2.0000000000e+00    3.5558378857e+03    1.0564909777e+03    2.0392615634e+00    3.6822363362e+00    1.0501491115e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0075150243e+00   -2.2647539708e+00    1.1882953295e+01   -7.4697355476e+00    1.6631524686e+00    7.3996185631e-01    2.3256966935e-05    2.5597683364e-01    7.1926088211e-04    1.9404596162e-04    1.7598808537e-03    4.0388508342e-04    1.7717828003e-04    1.9099296003e-04    8.8870440016e-05    1.9232020003e-05    1.7600452003e-05    9.6089920017e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0501491115e+12    1.0501491115e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.9550036554e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0075150243e+00   -2.2647539708e+00    0.0000000000e+00    3.2584896575e-15    3.2584896575e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.3399573666e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8784035258e+00   -7.2311316944e+00    4.4718298451e+00    3.6824171070e+00    1.2020889428e+01    1.2464972874e+00    3.6825171191e+00   -7.2844860317e+00    4.2194218915e+00    3.6822352580e+00    1.2021253126e+01    1.2530295348e+00
    2.0000000000e+00    4.3638379349e+03    8.0800004924e+02    2.0238322051e+00    3.6831909513e+00    1.0271338925e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0168885384e+00   -2.2366352228e+00    1.1920447711e+01   -7.4373563674e+00    1.6631839827e+00    7.3996185241e-01    2.3268692018e-05    2.5597683365e-01    7.1926088213e-04    1.9404596163e-04    1.7598808538e-03    4.0388508343e-04    1.7717828004e-04    1.9099296004e-04    8.8870440018e-05    1.9232020004e-05    1.7600452004e-05    9.6089920019e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0271338925e+12    1.0271338925e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.6188256935e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0168885384e+00   -2.2366352228e+00    0.0000000000e+00    4.5878273056e-15    4.5878273056e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.4254346189e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8788379943e+00   -7.2231638760e+00    4.4802357679e+00    3.6833673192e+00    1.2011274324e+01    1.2476033305e+00    3.6841697156e+00   -7.2740039056e+00    4.2315635074e+00    3.6831884725e+00    1.2011632018e+01    1.2527245151e+00
    2.0000000000e+00    5.0296764732e+03    6.6583853832e+02    2.0111492073e+00    3.6839686113e+00    1.0086261903e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0245828153e+00   -2.2135535323e+00    1.1951225608e+01   -7.4107768507e+00    1.6632080118e+00    7.3996184797e-01    2.3282035759e-05    2.5597683366e-01    7.1926088214e-04    1.9404596163e-04    1.7598808538e-03    4.0388508344e-04    1.7717828004e-04    1.9099296004e-04    8.8870440020e-05    1.9232020004e-05    1.7600452004e-05    9.6089920022e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0086261903e+12    1.0086261903e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.3535195078e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0245828153e+00   -2.2135535323e+00    0.0000000000e+00    6.0672763373e-15    6.0672763373e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.8405056843e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8792637192e+00   -7.2166347134e+00    4.4871990990e+00    3.6841415287e+00    1.2003384406e+01    1.2484538427e+00    3.6850244241e+00   -7.2666602738e+00    4.2397783151e+00    3.6839690621e+00    1.2003729339e+01    1.2524519490e+00
    2.0000000000e+00    5.6250883137e+03    5.9541184045e+02    2.0000833722e+00    3.6846443026e+00    9.9276381876e+11    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0312926458e+00   -2.1934249512e+00    1.1978065730e+01   -7.3875978677e+00    1.6632277354e+00    7.3996184191e-01    2.3300240921e-05    2.5597683366e-01    7.1926088217e-04    1.9404596164e-04    1.7598808539e-03    4.0388508346e-04    1.7717828005e-04    1.9099296005e-04    8.8870440023e-05    1.9232020005e-05    1.7600452005e-05    9.6089920025e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.9276381876e+11    9.9276381876e+11    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.1297128770e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0312926458e+00   -2.1934249512e+00    0.0000000000e+00    7.7333860288e-15    7.7333860288e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9978133236e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8796166267e+00   -7.2109345874e+00    4.4932580187e+00    3.6848142381e+00    1.1996506070e+01    1.2492643234e+00    3.6853140544e+00   -7.2615869295e+00    4.2451224552e+00    3.6846424211e+00    1.1996849704e+01    1.2528239998e+00
    2.0000000000e+00    6.1918258225e+03    5.6673750880e+02    1.9898738007e+00    3.6852646931e+00    9.7836379754e+11    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0374791343e+00   -2.1748666576e+00    1.2002812167e+01   -7.3662274581e+00    1.6632449818e+00    7.3996183342e-01    2.3325757051e-05    2.5597683368e-01    7.1926088221e-04    1.9404596165e-04    1.7598808540e-03    4.0388508348e-04    1.7717828006e-04    1.9099296006e-04    8.8870440028e-05    1.9232020006e-05    1.7600452005e-05    9.6089920030e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.7836379754e+11    9.7836379754e+11    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9294052668e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0374791343e+00   -2.1748666576e+00    0.0000000000e+00    9.6601696969e-15    9.6601696969e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0056962382e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8799950224e+00   -7.2056762813e+00    4.4989039575e+00    3.6854319850e+00    1.1990165790e+01    1.2499597027e+00    3.6862528317e+00   -7.2549968429e+00    4.2526692976e+00    3.6852651020e+00    1.1990499556e+01    1.2524134698e+00
    2.0000000000e+00    6.7527466315e+03    5.6092080905e+02    1.9801062233e+00    3.6858573912e+00    9.6478643656e+11    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0433977663e+00   -2.1571119470e+00    1.2026487092e+01   -7.3457824838e+00    1.6632606972e+00    7.3996182200e-01    2.3360089655e-05    2.5597683369e-01    7.1926088225e-04    1.9404596166e-04    1.7598808541e-03    4.0388508350e-04    1.7717828007e-04    1.9099296007e-04    8.8870440034e-05    1.9232020007e-05    1.7600452007e-05    9.6089920036e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.6478643656e+11    9.6478643656e+11    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.7430418020e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0433977663e+00   -2.1571119470e+00    0.0000000000e+00    1.1941505536e-14    1.1941505536e-14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0078997543e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8803322382e+00   -7.2006343606e+00    4.5042896533e+00    3.6860221664e+00    1.1984101639e+01    1.2506800356e+00    3.6867114428e+00   -7.2499771713e+00    4.2581315951e+00    3.6858552423e+00    1.1984435487e+01    1.2527379543e+00
    2.0000000000e+00    7.3203410849e+03    5.6759445334e+02    1.9706542221e+00    3.6864260017e+00    9.5184880222e+11    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0491168821e+00   -2.1399556982e+00    1.2049364026e+01   -7.3260265655e+00    1.6632752013e+00    7.3996180714e-01    2.3404747932e-05    2.5597683372e-01    7.1926088232e-04    1.9404596168e-04    1.7598808542e-03    4.0388508354e-04    1.7717828008e-04    1.9099296009e-04    8.8870440041e-05    1.9232020009e-05    1.7600452008e-05    9.6089920045e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.5184880222e+11    9.5184880222e+11    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.5677253436e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0491168821e+00   -2.1399556982e+00    0.0000000000e+00    1.2448877172e-02    1.2448877172e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9673303921e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8807083415e+00   -7.1957765839e+00    4.5095334038e+00    3.6865884360e+00    1.1978243099e+01    1.2513198341e+00    3.6864358951e+00   -7.2469624089e+00    4.2608625301e+00    3.6864259491e+00    1.1978568073e+01    1.2532275633e+00
    2.0000000000e+00    7.9043892549e+03    5.8404817006e+02    1.9612863029e+00    3.6869884088e+00    9.3920240038e+11    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0547843188e+00   -2.1229542328e+00    1.2072034417e+01   -7.3064487317e+00    1.6632889636e+00    7.3996170905e-01    2.3699551390e-05    2.5597683386e-01    7.1926088273e-04    1.9404596179e-04    1.7598808552e-03    4.0388508377e-04    1.7717828018e-04    1.9099296020e-04    8.8870440092e-05    1.9232020020e-05    1.7600452018e-05    9.6089920100e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.3920240038e+11    9.3920240038e+11    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.3984907076e+56    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0547843188e+00   -2.1229542328e+00    0.0000000000e+00    1.5387609988e-02    1.5387609988e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9374737501e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8810504667e+00   -7.1909197467e+00    4.5147350617e+00    3.6871485165e+00    1.1972438978e+01    1.2520316707e+00    3.6882158417e+00   -7.2385279118e+00    4.2710883325e+00    3.6869857724e+00    1.1972764467e+01    1.2525923606e+00
