# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Apr 29 22:16:46 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.00000 0.0900000036 1.0816895926    0.090 -3.384  3.3657  5.191    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-17      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.230 22.457 19.862 18.032 15.888 13.642 11.140 10.526 10.234
0.0152 0.01508 9.00000 0.1000000015 1.1711064122    0.100 -3.222  3.3893  5.170    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-17      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.826 22.013 19.440 17.617 15.480 13.238 10.737 10.124 9.829
0.0152 0.01508 9.00000 0.1200000122 1.3193155232    0.120 -2.975  3.4228  5.135    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.208 21.023 18.583 16.788 14.731 12.543 10.133 9.520 9.220
0.0152 0.01508 9.00000 0.1229623184 1.3385314003    0.123 -2.948  3.4259  5.131    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.140 20.769 18.389 16.607 14.591 12.430 10.073 9.459 9.159
0.0152 0.01508 9.00000 0.1400000006 1.4384526719    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 19.486 17.374 15.667 13.847 11.828 9.727 9.112 8.812
0.0152 0.01508 9.00000 0.1493837237 1.4869687019    0.149 -2.726  3.4495  5.088    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.585 18.996 16.976 15.296 13.547 11.582 9.572 8.956 8.657
0.0152 0.01508 9.00000 0.1599999964 1.5372931554    0.160 -2.653  3.4565  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 18.485 16.559 14.900 13.226 11.327 9.409 8.791 8.494
0.0152 0.01508 9.00000 0.2000000030 1.6938790862    0.200 -2.438  3.4752  5.030    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.865 17.155 15.445 13.843 12.351 10.618 8.915 8.296 8.008
0.0152 0.01508 9.00000 0.2500000000 1.8403257998    0.250 -2.236  3.4916  4.991    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.360 16.059 14.495 12.927 11.569 9.991 8.452 7.830 7.552
0.0152 0.01508 9.00000 0.3135805130 1.9793373055    0.314 -2.035  3.5051  4.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-16      0.00 7.089e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.856 15.152 13.684 12.157 10.889 9.414 7.979 7.354 7.087
0.0152 0.01508 9.00000 0.3194212019 1.9902480622    0.319 -2.016  3.5062  4.935    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.31e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.810 15.074 13.612 12.090 10.828 9.362 7.935 7.310 7.044
0.0152 0.01508 9.00000 0.3466122150 2.0378297976    0.347 -1.938  3.5118  4.916    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.59e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.616 14.731 13.301 11.794 10.566 9.141 7.755 7.126 6.865
0.0152 0.01508 9.00000 0.3500000238 2.0434175133    0.350 -1.929  3.5125  4.913    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.75e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.593 14.692 13.265 11.760 10.535 9.115 7.733 7.105 6.844
0.0152 0.01508 9.00000 0.4000000358 2.1185024810    0.400 -1.781  3.5233  4.866    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.221 14.069 12.690 11.212 10.044 8.700 7.388 6.752 6.501
0.0152 0.01508 9.00000 0.4500000477 2.1822809714    0.450 -1.631  3.5353  4.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.847 13.464 12.114 10.666 9.551 8.286 7.043 6.399 6.157
0.0152 0.01508 9.00000 0.5000000000 2.2374541529    0.500 -1.476  3.5498  4.764    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.459 12.851 11.514 10.092 9.032 7.858 6.692 6.037 5.806
0.0152 0.01508 9.00000 0.5093277693 2.2468676136    0.509 -1.444  3.5535  4.755    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-15      0.00 7.095e-01 2.753e-01 2.743e-03 7.401e-04 6.712e-03 -1.000 1.526e-02 8.381 12.725 11.386 9.969 8.921 7.771 6.624 5.966 5.738
0.0152 0.01508 9.00000 0.5500000119 2.2836582633    0.550 -1.315  3.5684  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-15      0.00 7.115e-01 2.733e-01 2.725e-03 7.352e-04 6.668e-03 -1.000 1.518e-02 8.057 12.219 10.868 9.465 8.462 7.415 6.341 5.673 5.459
0.0152 0.01508 9.00000 0.5591725707 2.2911095074    0.559 -1.284  3.5728  4.713    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.84e-15      0.00 7.116e-01 2.733e-01 2.724e-03 7.350e-04 6.666e-03 -1.000 1.517e-02 7.981 12.092 10.737 9.337 8.346 7.330 6.277 5.605 5.396
0.0152 0.01508 9.00000 0.6000000238 2.3211213258    0.600 -1.153  3.5914  4.687    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 7.119e-01 2.730e-01 2.722e-03 7.343e-04 6.660e-03 -1.000 1.513e-02 7.654 11.568 10.190 8.815 7.870 6.977 5.999 5.314 5.130
0.0152 0.01508 9.00000 0.6159545183 2.3316135234    0.616 -1.101  3.5998  4.680    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.8e-15      0.00 7.120e-01 2.728e-01 2.721e-03 7.340e-04 6.658e-03 -1.000 1.515e-02 7.523 11.355 9.965 8.607 7.681 6.838 5.889 5.198 5.027
0.0152 0.01508 9.00000 0.6409611702 2.3468564240    0.641 -1.021  3.6127  4.669    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.92e-15      0.00 7.122e-01 2.727e-01 2.719e-03 7.336e-04 6.654e-03 -1.000 1.516e-02 7.323 11.027 9.616 8.294 7.399 6.626 5.718 5.025 4.875
0.0152 0.01508 9.00000 0.6499999762 2.3520353107    0.650 -0.993  3.6174  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.35e-15      0.00 7.122e-01 2.726e-01 2.718e-03 7.335e-04 6.653e-03 -1.000 1.516e-02 7.253 10.907 9.492 8.184 7.299 6.552 5.658 4.967 4.824
0.0152 0.01508 9.00000 0.7000000477 2.3779267258    0.700 -0.839  3.6454  4.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.125e-01 2.723e-01 2.716e-03 7.328e-04 6.647e-03 -1.000 1.514e-02 6.867 10.111 8.746 7.553 6.750 6.149 5.343 4.681 4.577
0.0152 0.01508 9.00000 0.7033798099 2.3795247560    0.703 -0.828  3.6474  4.655    0  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.126e-01 2.723e-01 2.713e-03 7.326e-04 6.646e-03 -1.000 1.513e-02 6.841 10.046 8.693 7.509 6.713 6.122 5.323 4.665 4.563
0.0152 0.01508 9.00000 0.7500000000 2.3998889087    0.750 -0.692  3.6740  4.653    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 7.129e-01 2.720e-01 2.677e-03 7.312e-04 6.641e-03 -1.000 1.511e-02 6.499 9.104 8.003 6.952 6.260 5.763 5.059 4.480 4.397
