# Z0.004Y0.256O_IN0.0OUTA1.74_F7_M350.0.UNF 
# M=350.0, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    3.5000000000e+02    1.1519527338e+01    1.1419527338e+01    6.6171400229e+00    3.8119746186e+00    1.1238636745e+14    6.0100566405e-01    5.5452368038e-01    0.0000000000e+00    0.0000000000e+00    5.9739125281e+00   -5.1118390684e+00    9.4754414716e+00   -1.3909215139e+01    1.3937245564e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.1238636745e+14    1.1238636745e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9145760703e+62    0.0000000000e+00    0.0000000000e+00    1.3522343118e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9739125281e+00   -5.1118390684e+00    0.0000000000e+00    1.0079485020e-20    1.0079485020e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -1.9365328374e-01    0.0000000000e+00    1.9672528197e-01    1.3827876134e+01    6.2489251485e+01   -3.3000000000e+01    3.8288787763e-01    3.9142620693e+00   -9.3523798529e+00    2.4682649386e+00    3.8120825443e+00    1.4050497783e+01    1.1083078195e+00    3.8131417204e+00   -9.3535294168e+00    2.2965665687e+00    3.8119724674e+00    1.4050717937e+01    1.2152370911e+00
    3.5000000000e+02    2.2939054676e+01    1.1419527338e+01    6.6169849054e+00    3.8171285516e+00    1.0973071510e+14    5.8230096240e-01    5.3090914572e-01    0.0000000000e+00    0.0000000000e+00    5.9919294938e+00   -5.0566802832e+00    9.5478828778e+00   -1.3844440215e+01    1.3937333828e+00    7.3996188644e-01    2.3166402646e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0973071510e+14    1.0973071510e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.4901714908e+62    0.0000000000e+00    0.0000000000e+00    1.3494437978e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9919294938e+00   -5.0566802832e+00    0.0000000000e+00    1.8409050962e-20    1.8409050962e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.5601595282e-01    0.0000000000e+00    1.9832263408e-01    1.3822185489e+01    6.2461377034e+01   -3.3000000000e+01    3.8522377233e-01    3.9174282653e+00   -9.3991694934e+00    2.4342110400e+00    3.8172395367e+00    1.4040106239e+01    1.1516803966e+00    3.8215050789e+00   -9.3994330950e+00    2.2625848143e+00    3.8171247059e+00    1.4040335901e+01    1.1880566367e+00
    3.5000000000e+02    3.4358582014e+01    1.1419527338e+01    6.6200885060e+00    3.8241614269e+00    1.0661400529e+14    5.6427672238e-01    5.1685727188e-01    0.0000000000e+00    0.0000000000e+00    6.0177667176e+00   -4.9778658092e+00    9.6516718900e+00   -1.3752210663e+01    1.3937497951e+00    7.3996188644e-01    2.3166402735e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0661400529e+14    1.0661400529e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.9418158570e+62    0.0000000000e+00    0.0000000000e+00    1.3459073395e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0177667176e+00   -4.9778658092e+00    0.0000000000e+00    4.2515542470e-20    4.2515542470e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4048028783e-01    0.0000000000e+00    1.9356907083e-01    1.3814112725e+01    6.2413660597e+01   -3.3000000000e+01    3.7899153654e-01    3.9219166753e+00   -9.4691905104e+00    2.3841179468e+00    3.8242785781e+00    1.4027579957e+01    1.1378038606e+00    3.8261927838e+00   -9.4693000582e+00    2.2014947585e+00    3.8241587191e+00    1.4027819675e+01    1.1884726297e+00
    3.5000000000e+02    4.5778109352e+01    1.1419527338e+01    6.6260862264e+00    3.8311430399e+00    1.0395607970e+14    5.5779871260e-01    5.0967426497e-01    0.0000000000e+00    0.0000000000e+00    6.0454951626e+00   -4.8934147111e+00    9.7630141006e+00   -1.3653537501e+01    1.3937714727e+00    7.3996188644e-01    2.3166403008e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0395607970e+14    1.0395607970e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.4232709319e+62    0.0000000000e+00    0.0000000000e+00    1.3428080130e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0454951626e+00   -4.8934147111e+00    0.0000000000e+00    1.0183202223e-19    1.0183202223e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.4482098037e-01    0.0000000000e+00    1.8440102556e-01    1.3806947523e+01    6.2358598341e+01   -3.3000000000e+01    3.6917313909e-01    3.9264684587e+00   -9.5444508248e+00    2.3314875604e+00    3.8312685288e+00    1.4016598916e+01    1.0890926164e+00    3.8353601222e+00   -9.5446324649e+00    2.1425108196e+00    3.8311392917e+00    1.4016857390e+01    1.1539980756e+00
    3.5000000000e+02    5.7900659973e+01    1.2122550621e+01    6.6350659163e+00    3.8376246064e+00    1.0194750587e+14    5.5779871260e-01    5.0967426497e-01    0.0000000000e+00    0.0000000000e+00    6.0748412262e+00   -4.8041756638e+00    9.8808056632e+00   -1.3549429005e+01    1.3937981874e+00    7.3996188644e-01    2.3166403773e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0194750587e+14    1.0194750587e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.9423310283e+62    0.0000000000e+00    0.0000000000e+00    1.3398995639e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0748412262e+00   -4.8041756638e+00    0.0000000000e+00    2.5089577831e-19    2.5089577831e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.8275379738e-01    0.0000000000e+00    1.7145666901e-01    1.3802005155e+01    6.2297013644e+01   -3.3000000000e+01    3.4871419353e-01    3.9310994210e+00   -9.6225455090e+00    2.2784676786e+00    3.8377611328e+00    1.4008103553e+01    1.0017179085e+00    3.8376283404e+00   -9.6224346429e+00    2.0726113661e+00    3.8376240644e+00    1.4008377689e+01    1.2002142843e+00
    3.5000000000e+02    7.0009083535e+01    1.2108423562e+01    6.6460811808e+00    3.8429282160e+00    1.0075741534e+14    5.5779871260e-01    5.0967426497e-01    0.0000000000e+00    0.0000000000e+00    6.1034410937e+00   -4.7173397044e+00    9.9955574222e+00   -1.3448276690e+01    1.3938283328e+00    7.3996188644e-01    2.3166405750e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0075741534e+14    1.0075741534e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.5315733384e+62    0.0000000000e+00    0.0000000000e+00    1.3370628292e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1034410937e+00   -4.7173397044e+00    0.0000000000e+00    5.9001525402e-19    5.9001525402e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9645356173e-01    0.0000000000e+00    1.5813693851e-01    1.3801031742e+01    6.2236716560e+01   -3.3000000000e+01    3.3054150907e-01    3.9350816525e+00   -9.6934181450e+00    2.2312073449e+00    3.8430767509e+00    1.4002979949e+01    1.1026831009e+00    3.8476024836e+00   -9.6947980243e+00    2.0213303471e+00    3.8429238874e+00    1.4003285676e+01    1.1880991586e+00
    3.5000000000e+02    8.1953692234e+01    1.1944608698e+01    6.6584342129e+00    3.8469431237e+00    1.0032836134e+14    5.5779871260e-01    5.0967426497e-01    0.0000000000e+00    0.0000000000e+00    6.1308640328e+00   -4.6342139832e+00    1.0105541049e+01   -1.3351602939e+01    1.3938605657e+00    7.3996188644e-01    2.3166410535e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0032836134e+14    1.0032836134e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.1840761636e+62    0.0000000000e+00    0.0000000000e+00    1.3343399137e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1308640328e+00   -4.6342139832e+00    0.0000000000e+00    1.3145155440e-18    1.3145155440e-18    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0015284245e+00    0.0000000000e+00    1.4703623606e-01    1.3805187286e+01    6.2182395884e+01   -3.3000000000e+01    3.1816966488e-01    3.9384807251e+00   -9.7543498239e+00    2.1915848121e+00    3.8471042118e+00    1.4001101543e+01    1.0424360509e+00    3.8469843586e+00   -9.7544689263e+00    1.9656242375e+00    3.8469423914e+00    1.4001425184e+01    1.1744624345e+00
    3.5000000000e+02    9.3612984642e+01    1.1659292408e+01    6.6714887415e+00    3.8496917129e+00    1.0056660867e+14    5.5779871260e-01    5.1327901905e-01    0.0000000000e+00    0.0000000000e+00    6.1568803586e+00   -4.5554803437e+00    1.0209839841e+01   -1.3260186426e+01    1.3938948040e+00    7.3996188643e-01    2.3166421212e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0056660867e+14    1.0056660867e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.8911970653e+62    0.0000000000e+00    0.0000000000e+00    1.3317538110e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1568803586e+00   -4.5554803437e+00    0.0000000000e+00    2.7661772600e-18    2.7661772600e-18    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0033068361e+00    0.0000000000e+00    1.3561362387e-01    1.3811914261e+01    6.2130019286e+01   -3.3000000000e+01    2.9821411702e-01    3.9409486911e+00   -9.8029030877e+00    2.1599575531e+00    3.8498641347e+00    1.4002108961e+01    1.0395807841e+00    3.8504427291e+00   -9.8032786793e+00    1.9275530791e+00    3.8496898054e+00    1.4002457620e+01    1.1374138530e+00
    3.5000000000e+02    1.0490021997e+02    1.1287235326e+01    6.6847308991e+00    3.8512580443e+00    1.0137765025e+14    5.6104966760e-01    5.1685727188e-01    0.0000000000e+00    0.0000000000e+00    6.1814053547e+00   -4.4813766082e+00    1.0308120295e+01   -1.3174282035e+01    1.3939307070e+00    7.3996188643e-01    2.3166443440e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0137765025e+14    1.0137765025e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6442371690e+62    0.0000000000e+00    0.0000000000e+00    1.3294949613e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1814053547e+00   -4.4813766082e+00    0.0000000000e+00    6.2764699471e-06    6.2764699471e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0042894960e+00    0.0000000000e+00    1.2609398538e-01    1.3822077111e+01    6.2083724847e+01   -3.3000000000e+01    2.8207822291e-01    3.9424424049e+00   -9.8373343373e+00    2.1371271482e+00    3.8514396338e+00    1.4005579042e+01    8.9852714726e-01    3.8536641799e+00   -9.8385364596e+00    1.9020116252e+00    3.8512548281e+00    1.4005948653e+01    1.1001818222e+00
    3.5000000000e+02    1.1576089968e+02    1.0860679709e+01    6.6977404609e+00    3.8517560245e+00    1.0267176821e+14    5.6748005264e-01    5.2040921827e-01    0.0000000000e+00    0.0000000000e+00    6.2044199025e+00   -4.4119418062e+00    1.0400312160e+01   -1.3093912004e+01    1.3939673103e+00    7.3996188640e-01    2.3166515684e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0267176821e+14    1.0267176821e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4355195263e+62    0.0000000000e+00    0.0000000000e+00    1.3275626803e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.2044199025e+00   -4.4119418062e+00    0.0000000000e+00    1.2403650267e-05    1.2403650267e-05    2.1914524179e-99    0.0000000000e+00    0.0000000000e+00    1.0040425558e+00    0.0000000000e+00    1.1750753402e-01    1.3834298771e+01    6.2042695996e+01   -3.3000000000e+01    2.6513048537e-01    3.9428812154e+00   -9.8574598225e+00    2.1225013611e+00    3.8519437218e+00    1.4011075647e+01    1.0430505625e+00    3.8564312157e+00   -9.8605638968e+00    1.8878753442e+00    3.8517508475e+00    1.4011461396e+01    1.1485305474e+00
