# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Apr 30 04:20:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.69897 0.0951665044 1.1294131285    0.095 -1.778  3.4083  3.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.216 16.264 14.982 13.550 11.724 9.647 7.165 6.588 6.187
0.0152 0.01508 6.69897 0.0990788862 1.1633656347    0.099 -1.762  3.4099  3.788    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.89e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.175 16.230 14.943 13.510 11.682 9.605 7.123 6.546 6.146
0.0152 0.01508 6.69897 0.1031958088 1.1972607474    0.103 -1.739  3.4124  3.792    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.117 16.177 14.887 13.453 11.625 9.548 7.066 6.488 6.089
0.0152 0.01508 6.69897 0.1125131696 1.2678708900    0.112 -1.691  3.4172  3.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.998 16.026 14.736 13.300 11.482 9.412 6.948 6.370 5.973
0.0152 0.01508 6.69897 0.1258938164 1.3569639539    0.126 -1.636  3.4229  3.817    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.860 15.749 14.470 13.033 11.252 9.213 6.817 6.238 5.846
0.0152 0.01508 6.69897 0.1347586662 1.4094737284    0.135 -1.598  3.4268  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.766 15.524 14.258 12.822 11.076 9.065 6.729 6.150 5.763
0.0152 0.01508 6.69897 0.1476062685 1.4780881331    0.148 -1.547  3.4325  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.637 15.207 13.962 12.529 10.833 8.861 6.610 6.029 5.650
0.0152 0.01508 6.69897 0.1567201465 1.5222202312    0.157 -1.514  3.4362  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.554 15.011 13.777 12.351 10.684 8.735 6.533 5.950 5.577
0.0152 0.01508 6.69897 0.1694417149 1.5785328504    0.169 -1.461  3.4428  3.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.423 14.679 13.468 12.054 10.437 8.529 6.412 5.827 5.464
0.0152 0.01508 6.69897 0.1817221195 1.6279085777    0.182 -1.416  3.4482  3.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.309 14.406 13.212 11.808 10.232 8.357 6.306 5.719 5.365
0.0152 0.01508 6.69897 0.1963359565 1.6812986505    0.196 -1.374  3.4525  3.867    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.206 14.182 12.998 11.599 10.055 8.209 6.211 5.621 5.274
0.0152 0.01508 6.69897 0.2135923505 1.7380547218    0.214 -1.322  3.4589  3.877    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.075 13.879 12.708 11.315 9.817 8.015 6.092 5.498 5.161
0.0152 0.01508 6.69897 0.2313415259 1.7905279096    0.231 -1.272  3.4648  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.950 13.615 12.452 11.067 9.608 7.841 5.978 5.378 5.052
0.0152 0.01508 6.69897 0.2493823618 1.8387555452    0.249 -1.232  3.4693  3.896    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.850 13.414 12.255 10.877 9.445 7.704 5.885 5.281 4.963
0.0152 0.01508 6.69897 0.2689957321 1.8862912949    0.269 -1.183  3.4756  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.728 13.161 12.006 10.634 9.239 7.536 5.775 5.164 4.855
0.0152 0.01508 6.69897 0.2957793474 1.9443833818    0.296 -1.124  3.4829  3.917    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.581 12.874 11.718 10.348 8.993 7.338 5.643 5.023 4.726
0.0152 0.01508 6.69897 0.3000000119 1.9529139769    0.300 -1.116  3.4839  3.919    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.560 12.837 11.679 10.308 8.958 7.311 5.625 5.003 4.707
